,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
261,Nestle,4.1,1700,Public,Vevey + 178 more,63 years old,10k-50k Employees (India),FMCG
262,Aakash Institute,3.7,1800,Private,"New Delhi,Delhi + 136 more",34 years old,1k-5k Employees (India),Education / Training
263,Aarti Industries,4.2,1500,Public,"Mumbai,Maharashtra + 33 more",47 years old,5k-10k Employees (India),Chemicals / Agri Inputs
264,HCL Infosystems,3.9,19000,Public,"Noida,Uttar Pradesh + 102 more",46 years old,10k-50k Employees (India),IT Services & Consulting
265,Blue Dart Expres...,4.2,1600,Public,"Mumbai,Maharashtra + 190 more",39 years old,10k-50k Employees (India),Logistics / Shipping
266,Cogent E Service...,3.4,1500,Private,"Noida,Uttar Pradesh + 26 more",18 years old,10k-50k Employees (India),BPO/KPO
267,Reliance Digital,4.3,1500,Private,"Mumbai,Maharashtra + 214 more",15 years old,5k-10k Employees (India),Retail
268,Tata AIG,4.1,1500,Private,"Mumbai,Maharashtra + 180 more",22 years old,5k-10k Employees (India),Financial Services
269,Mankind Pharma,4.2,1700,Private,"New Delhi,Delhi + 144 more",27 years old,5k-10k Employees (India),Manufacturing
270,AFCONS Infrastru...,4.4,1500,Partnership,"Mumbai,Maharashtra + 69 more",63 years old,1k-5k Employees (India),Engineering & Construction
271,Pfizer,4.2,4800,Public,"Chennai,Tamil Nadu + 97 more",18 years old,5k-10k Employees (India),Manufacturing
272,JMC Projects,4.3,1500,Public,"Mumbai,Maharashtra + 93 more",40 years old,1k-5k Employees (India),Engineering & Construction
273,Persistent Syste...,4.1,1500,Public,"Pune,Maharashtra + 8 more",32 years old,10k-50k Employees (India),IT Services & Consulting
274,R1 RCM,4,1500,Private,"Murray,Utah + 14 more",19 years old,5k-10k Employees (India),Accounting / Auditing
275,Life Insurance C...,4.4,1500,Private,Mumbai + 349 more,66 years old,1 Lakh+ Employees (India),Financial Services
276,Voltas,4.1,1600,Public,"Mumbai,Maharashtra + 134 more",68 years old,5k-10k Employees (India),Industrial Equipment / Machinery
277,I Process Servic...,4,1500,Private,"Mumbai,Maharashtra + 212 more",17 years old,1k-5k Employees (India),Recruitment / Staffing
278,Delhi Public Sch...,3.9,1500,Public,"Greater Noida,Uttar Pradesh + 207 more",24 years old,1k-5k Employees (India),Education / Training
279,Access Healthcar...,4.1,1400,Private,"Dallas,Texas + 15 more",11 years old,1k-5k Employees (India),Internet
280,G4S,4.2,1500,Private,"Gurgaon/Gurugram,Haryana + 99 more",26 years old,1 Lakh+ Employees (India),Financial Services
281,Birla Sun Life I...,4.2,1400,Private,"Mumbai,Maharashtra + 279 more",22 years old,10k-50k Employees (India),Financial Services
282,Raymond,4,1700,Public,New York + 106 more,97 years old,5k-10k Employees (India),FMCG
283,Samsung Electron...,4.1,1400,,Noida + 167 more,,,
284,Zensar Technolog...,3.9,1500,Public,"Pune,Maharashtra + 18 more",21 years old,5k-10k Employees (India),IT Services & Consulting
285,Exide Industries,3.8,1500,Public,"Kolkata,West Bengal + 163 more",75 years old,1k-5k Employees (India),Manufacturing
286,Walmart,4.2,12300,Private,"Bangalore/Bengaluru,Karnataka + 70 more",13 years old,5k-10k Employees (India),Retail
287,Aditya Birla Gro...,4.2,15400,,"Mumbai,Maharashtra + 188 more",165 years old,50k-1 Lakh Employees (India),Financial Services
288,Fiserv,3.9,1400,Private,"Brookfield,Wisconsin + 21 more",38 years old,5k-10k Employees (India),Financial Services
289,R.R. Donnelley,4.1,1400,Private,"Chicago,Illinois + 9 more",158 years old,5k-10k Employees (India),Advertising / PR / Events
290,BHEL,4.3,1400,Private,"Bangalore/Bengaluru,Karnataka + 84 more",58 years old,10k-50k Employees (India),Manufacturing
291,PVR Cinemas,4.3,1400,Public,Gurgaon + 87 more,25 years old,5k-10k Employees (India),Media & Entertainment / Publishing
292,United Phosphoru...,4.3,1400,Public,"Mumbai,Maharashtra + 110 more",53 years old,5k-10k Employees (India),Agriculture / Forestry / Fishing
293,Micro Labs,3.8,1400,Private,"Bangalore/Bengaluru,Karnataka + 96 more",49 years old,10k-50k Employees (India),Clinical Research / Contract Research
294,ACT Fibernet,4,1400,Private,"Bengaluru/Bangalore,Karnataka + 32 more",22 years old,5k-10k Employees (India),Internet
295,PepsiCo,4.2,1500,Private,"Harrison,New York + 175 more",33 years old,1 Lakh+ Employees (India),Food Processing
296,Birlasoft,3.8,1400,Public,"Pune,Maharashtra + 24 more",27 years old,10k-50k Employees (India),IT Services & Consulting
297,Statestreet HCL ...,3.4,1400,Private,New Delhi + 10 more,10 years old,5k-10k Employees (India),BPO/KPO
298,Poonawalla Finco...,4.1,1700,Public,"Mumbai,Maharashtra + 241 more",34 years old,5k-10k Employees (India),Manufacturing
299,NIIT Technologie...,3.5,1400,Public,"Noida,Uttar Pradesh + 76 more",18 years old,5k-10k Employees (India),IT Services & Consulting
300,Lenskart,3,1400,Private,"Delhi,NCT + 103 more",12 years old,1k-5k Employees (India),Internet
301,Ajanta Pharma,4,1400,Public,"Mumbai,Maharashtra + 81 more",49 years old,1k-5k Employees (India),Biotech & Life sciences
302,Paras Hospital,4.7,1400,Private,"Gurgaon/Gurugram,Haryana + 24 more",16 years old,1k-5k Employees (India),Medical Services / Hospital
303,TVS Supply Chain...,4.1,1500,,"Chennai,Tamil Nadu + 109 more",126 years old,1k-5k Employees (India),Logistics / Shipping
304,Renault-Nissan,4.1,1400,Private,"Chennai,Tamil Nadu + 63 more",12 years old,10k-50k Employees (India),Automobile
305,HDFC Sales,4.1,1400,Private,"Mumbai,Maharashtra + 214 more",18 years old,10k-50k Employees (India),Financial Services
306,The Himalaya Dru...,4.2,1400,Private,"San Francisco,California + 150 more",92 years old,1k-5k Employees (India),Biotech & Life sciences
307,AGS Health,4.1,1400,Private,Washington DC + 23 more,11 years old,5k-10k Employees (India),Medical Services / Hospital
308,Cholamandalam MS...,4,1300,JV,"Chennai,Tamil Nadu + 263 more",21 years old,50k-1 Lakh Employees (India),Financial Services
309,Legato Health Te...,4.1,1300,LLP,"Bangalore/Bengaluru,Karnataka + 8 more",5 years old,5k-10k Employees (India),Medical Services / Hospital
310,Tata Technologie...,3.5,1400,Private,Singapore + 32 more,33 years old,5k-10k Employees (India),Analytics / KPO / Research
311,Blue Star,4.1,1400,Public,"Mumbai,Maharashtra + 101 more",79 years old,1k-5k Employees (India),Consumer goods
312,Mahindra Holiday...,3.8,1300,Private,"Chennai,Tamil Nadu + 86 more",26 years old,5k-10k Employees (India),Travel & Tourism / Hospitality
313,Sonalika Tractor...,3.9,1300,Private,"Hoshiarpur,Punjab + 119 more",53 years old,1k-5k Employees (India),Automobile
314,Britannia,4.2,1300,Public,"Reading,Reading + 162 more",130 years old,5k-10k Employees (India),FMCG
315,Emcure Pharmaceu...,4.1,1400,Private,Pune + 77 more,41 years old,5k-10k Employees (India),Media & Entertainment / Publishing
316,Exide Life Insur...,3.7,1300,Private,"Bangalore/Bengaluru,Karnataka + 184 more",21 years old,1k-5k Employees (India),Financial Services
317,Societe Generale,3.9,1300,Private,"Bangalore/Bengaluru,Karnataka + 13 more",22 years old,1k-5k Employees (India),Financial Services
318,Dalmia Bharat Ce...,4.1,1400,Public,"Delhi/NCR,New Delhi + 133 more",87 years old,5k-10k Employees (India),Building Material
319,Sterling & Wilso...,4.2,1300,Private,Mumbai + 65 more,95 years old,5k-10k Employees (India),Engineering & Construction
320,Bajaj Allianz Ge...,4.3,1300,,Pune + 154 more,,,
321,TVS Sundram Fast...,3.9,1300,Public,"Chennai,Tamil Nadu + 34 more",56 years old,1k-5k Employees (India),Engineering & Construction
322,Johnson Controls,4,2200,Public,Cork + 51 more,27 years old,5k-10k Employees (India),Industrial Equipment / Machinery
323,Mahindra Rural H...,4.2,1300,Public,"Mumbai,Maharashtra + 301 more",15 years old,5k-10k Employees (India),Financial Services
324,café Coffee day,4.1,1300,Private,"Bengaluru,Karnataka + 79 more",26 years old,10k-50k Employees (India),Beverage
325,Shahi Exports,4.1,1300,Private,"Faridabad,Haryana + 47 more",48 years old,1 Lakh+ Employees (India),Import & Export
326,Big Bazaar,4.2,1300,Private,"Mumbai,Maharashtra + 147 more",21 years old,10k-50k Employees (India),Retail
327,UNO Minda,4.1,1300,,Gurgaon + 58 more,64 years old,1k-5k Employees (India),Automobile
328,Bhushan Power & ...,3.9,1300,Private,"Delhi/NCR,New Delhi + 46 more",52 years old,10k-50k Employees (India),Iron & Steel
329,Yazaki,4,1300,Private,"Tokyo,Tokyo + 45 more",81 years old,10k-50k Employees (India),Automobile
330,Ambuja Cements,4,1300,Public,"Mumbai,Maharashtra + 163 more",39 years old,5k-10k Employees (India),Building Material
331,Indian Navy,4.6,1300,Private,"Delhi/NCR,Delhi + 54 more",72 years old,50k-1 Lakh Employees (India),Defence & Aerospace
332,Honda,4.2,4300,Private,"Greater Noida,Uttar Pradesh + 172 more",37 years old,10k-50k Employees (India),Automobile
333,Force Motors,3.4,1300,Public,"Pune,Maharashtra + 72 more",64 years old,1k-5k Employees (India),Automobile
334,Reliance SMSL,4.1,1300,Public,Mumbai + 330 more,15 years old,1k-5k Employees (India),BPO / Call Centre
335,Shriram City,4.1,1300,Public,"Chennai,Tamil Nadu + 345 more",36 years old,10k-50k Employees (India),Financial Services
336,IGT Solutions,3.7,1200,Private,"Gurgaon/Gurugram,Haryana + 16 more",24 years old,5k-10k Employees (India),IT Services & Consulting
337,Tech Mahindra Bu...,3.6,1200,Public,"Mumbai,Maharashtra + 30 more",19 years old,1k-5k Employees (India),BPO/KPO
338,Brakes India,4.2,1300,Partnership,"Chennai,Tamil Nadu + 54 more",60 years old,1k-5k Employees (India),Manufacturing
339,Extramarks Educa...,3.7,1200,Private,"Noida,Uttar Pradesh + 90 more",15 years old,1k-5k Employees (India),Internet
340,V-Mart,4.4,1200,Public,"Gurgaon/Gurugram,Haryana + 193 more",20 years old,5k-10k Employees (India),FMCG
341,TVS Credit Servi...,4.3,1200,Public,"Chennai,Tamil Nadu + 199 more",14 years old,10k-50k Employees (India),Internet
342,JK Tyres,3.9,1200,Private,New Delhi + 107 more,71 years old,1k-5k Employees (India),Automobile
343,Thomson Reuters,4.3,1300,Private,Toronto + 18 more,14 years old,5k-10k Employees (India),IT Services & Consulting
344,CG Power and Ind...,3.8,1200,Public,"Mumbai,Maharashtra + 87 more",85 years old,1k-5k Employees (India),Consumer goods
345,Indus Towers,4.1,1200,Private,"Gurgaon,Haryana + 96 more",15 years old,5k-10k Employees (India),Hardware & Networking
346,Sobha,4,1300,Public,"Bangalore/Bengaluru,Karnataka + 32 more",27 years old,1k-5k Employees (India),Real Estate
347,Parle Agro,4.3,1200,Private,"Mumbai,Maharashtra + 132 more",38 years old,1k-5k Employees (India),FMCG
348,Whirlpool,4.2,1200,Public,Michigan + 109 more,111 years old,5k-10k Employees (India),Industrial Equipment / Machinery
349,Indiabulls,3.7,3900,Public,"Gurgaon/Gurugram,Haryana + 141 more",22 years old,10k-50k Employees (India),Financial Services
350,DS Group,4.1,1300,Private,"Noida,Uttar Pradesh + 122 more",93 years old,1k-5k Employees (India),Agriculture / Forestry / Fishing
351,Shree Cement,4.3,1200,Public,"Kolkata,West Bengal + 136 more",43 years old,5k-10k Employees (India),Building Material
352,Datamatics Globa...,3.6,1600,Public,Mumbai + 22 more,47 years old,1k-5k Employees (India),BPO/KPO
353,Wockhardt,4.1,1700,Public,"Mumbai,Maharashtra + 67 more",23 years old,5k-10k Employees (India),Pharmaceutical & Life Sciences
354,State Street Cor...,3.8,1400,Private,"Boston,Massachusetts + 12 more",230 years old,10k-50k Employees (India),Financial Services
