,Name,Rating,Reviews,Company_type,Headquarter,Old,No. of Employees,Tags
3945,Global Consumer ...,3.8,133,Private,"Bangalore,Karnataka + 33 more",9 years old,51-200 Employees (India),Consumer goods
3946,Expert Global So...,3.3,133,,"Aurangabad,Maharashtra + 3 more",23 years old,,Recruitment / Staffing
3947,OEN India,4,133,Private,"Kochi/Cochin,Kerala + 8 more",54 years old,51-200 Employees (India),Industrial Equipment / Machinery
3948,Gujarat Narmada ...,4.3,133,Private,Bharuch + 10 more,46 years old,1k-5k Employees (India),Chemicals / Agri Inputs
3949,Bharathi Cement,4.4,133,Private,Hyderabad + 24 more,23 years old,1k-5k Employees (India),Building Material
3950,Olympus,4,133,Private,"Tokyo,Tokyo-to + 14 more",12 years old,201-500 Employees (India),Internet
3951,Stelmec,3.3,133,Public,"Mumbai,Maharashtra + 15 more",38 years old,501-1k Employees (India),Design
3952,Sai Service,4.3,133,Private,Pune + 24 more,37 years old,501-1k Employees (India),Automobile
3953,Capital Finserve,4.6,133,Private,"Salem,Tamil Nadu + 1 more",15 years old,201-500 Employees (India),NBFC
3954,Greenpanel Indus...,4.3,133,Public,"Gurgaon/Gurugram,Haryana + 28 more",5 years old,1k-5k Employees (India),Architecture / Interior Design
3955,Radnik Exports,4.5,133,Private,"Delhi/NCR,Delhi + 3 more",41 years old,201-500 Employees (India),Textile & Apparel
3956,InternEzy,5,133,,Erode + 3 more,,51-200 Employees (India),e-Learning / EdTech
3957,JGC Corporation,4.4,154,Private,Kanagawa + 9 more,94 years old,5k-10k Employees (Global),Manufacturing
3958,Carrefour,3.9,133,Private,Massy + 20 more,63 years old,201-500 Employees (India),Consumer goods
3959,Triveni Turbines,4,132,Public,"Bangalore/Bengaluru,Karnataka + 9 more",54 years old,501-1k Employees (India),Industrial Equipment / Machinery
3960,Govt. Medical Co...,4.3,132,Private,Patiala + 35 more,,,Education / Training
3961,Eptisa,3.3,132,Private,Madrid + 20 more,66 years old,51-200 Employees (India),Consulting
3962,Indo Amines,3.5,132,Public,"Thane,Maharashtra + 4 more",43 years old,201-500 Employees (India),Chemicals / Agri Inputs
3963,Sri Ramachandra ...,4.2,132,Private,"Chennai,Tamil Nadu + 4 more",37 years old,501-1k Employees (India),Education / Training
3964,Welspun Enterpri...,4,132,Public,"Mumbai,Maharashtra + 22 more",46 years old,501-1k Employees (India),Engineering & Construction
3965,Vedika Credit Ca...,4,132,Public,"Ranchi,Jharkhand + 27 more",27 years old,1k-5k Employees (India),NBFC
3966,Privi Organics,4.3,132,Public,"Mumbai,Maharashtra + 9 more",40 years old,201-500 Employees (India),Chemicals / Agri Inputs
3967,South Eastern Co...,4.4,132,Government,Bilaspur + 16 more,37 years old,5k-10k Employees (Global),Metals & Mining
3968,Government of We...,3.7,132,Private,Howrah + 17 more,75 years old,1 Lakh+ Employees (India),Federal Agencies
3969,Biostadt,4.6,132,Private,"Mumbai,Maharashtra + 36 more",19 years old,501-1k Employees (India),Biotech & Life sciences
3970,GGK Technologies,3.6,132,Private,Duluth + 1 more,18 years old,1k-5k Employees (India),IT Services & Consulting
3971,Compuage Infocom,3.9,132,Public,"Mumbai,Maharashtra + 28 more",35 years old,501-1k Employees (India),IT Services & Consulting
3972,Vsun Mobile,4.1,132,Private,Dubai + 8 more,11 years old,51-200 Employees (India),Consumer goods
3973,Blue Cross Labor...,4,132,Public,"Mumbai,Maharashtra + 25 more",42 years old,1k-5k Employees (India),Pharmaceutical & Life Sciences
3974,Aegis Logistics,3.8,132,Public,"Mumbai,Maharashtra + 18 more",66 years old,1k-5k Employees (India),Logistics / Shipping
3975,Macmillan Publis...,4,132,Private,"Chennai,Tamil Nadu + 24 more",130 years old,201-500 Employees (India),Media & Entertainment / Publishing
3976,Deen Dayal Upadh...,4.2,132,Public,New Delhi + 57 more,8 years old,1 Lakh+ Employees (India),Recruitment / Staffing
3977,Welspun Global B...,3.8,132,Public,Mumbai + 23 more,22 years old,10k-50k Employees (Global),Retail
3978,The Fern Residen...,3.8,132,Private,"Mumbai,Maharashtra + 25 more",13 years old,501-1k Employees (India),Travel & Tourism / Hospitality
3979,Technocon Servic...,3.5,132,Private,"Kolkata,West Bengal + 19 more",40 years old,51-200 Employees (India),Marine
3980,Xalta Food And B...,2.9,132,Private,New Delhi + 28 more,7 years old,501-1k Employees (Global),Food Processing
3981,Avantor,3.9,132,Private,"Radnor Township,Pennsylvania + 17 more",31 years old,1k-5k Employees (India),Biotechnology
3982,Altum Credo Home...,4.3,132,Private,"Pune,Maharashtra + 23 more",6 years old,501-1k Employees (India),Financial Services
3983,Ikya Human Capit...,4.2,132,,Gurgaon/Gurugram + 47 more,,,Recruitment / Staffing
3984,Redcliffe Labs,4.2,132,Private,"Gurgaon,Haryana + 20 more",3 years old,1k-5k Employees (India),Medical Services / Hospital
3985,R.K.M Powergen,4.2,132,Private,"Chennai,Tamil Nadu + 5 more",18 years old,201-500 Employees (India),Power
3986,Softcell Technol...,4.1,132,Private,Mumbai + 9 more,33 years old,501-1k Employees (India),IT Services & Consulting
3987,Godrej Infotech,4,132,Private,"Mumbai,Maharashtra + 9 more",23 years old,501-1k Employees (India),IT Services & Consulting
3988,KrazyBee,4,132,Private,"Bangalore,Karnataka + 8 more",6 years old,51-200 Employees (India),Internet
3989,Zodiac Clothing ...,3.8,131,Public,"Mumbai,Maharashtra + 20 more",38 years old,1k-5k Employees (India),Retail
3990,Systopic Laborat...,4.7,131,Private,"Delhi/NCR,Delhi + 33 more",40 years old,501-1k Employees (India),Clinical Research / Contract Research
3991,Burns & McDonnel...,4.5,131,Private,"Kansas City,Missouri + 1 more",124 years old,201-500 Employees (India),Architecture / Interior Design
3992,Rajesh Motors,3.6,131,Private,Jaipur + 19 more,42 years old,51-200 Employees (India),Automobile
3993,Bhadra Internati...,3.4,131,Private,"New Delhi,Delhi + 6 more",22 years old,51-200 Employees (India),Airlines / Aviation / Aerospace
3994,Zee Media Corpor...,4.1,131,Public,"Noida,Uttar Pradesh + 13 more",23 years old,1k-5k Employees (India),Media & Entertainment / Publishing
3995,Terex,4,131,Private,"Westport,Connecticut + 16 more",89 years old,501-1k Employees (India),Industrial Equipment / Machinery
3996,Jitm Skills,3.4,131,Private,"Delhi/NCR,Delhi + 26 more",9 years old,51-200 Employees (India),Financial Services
3997,RAKS Pharma,3.9,131,Private,"Visakhapatnam/Vizag,Andhra Pradesh + 5 more",14 years old,201-500 Employees (India),Manufacturing
3998,Ujaas Energy,3.7,131,Public,"Indore,Madhya Pradesh + 13 more",43 years old,201-500 Employees (India),Power
3999,Spectranet,3.9,131,Private,"Gurgaon/Gurugram,Haryana + 10 more",22 years old,201-500 Employees (India),Telecom / ISP
4000,Nabard Financial...,4.2,131,Public,Bengaluru + 65 more,13 years old,1k-5k Employees (India),Financial Services
4001,Midland Microfin,3.6,131,,"Jalandhar,Punjab + 43 more",11 years old,,Financial Services
4002,Autocomp Corpora...,3.4,131,Private,"Pune,Maharashtra + 4 more",39 years old,51-200 Employees (India),Manufacturing
4003,First Data,4.1,131,,Atlanta + 10 more,,10k+ Employees (Global),Financial Services
4004,Volkswagen It Se...,3.8,131,Private,"Pune,Maharashtra + 2 more",6 years old,501-1k Employees (India),Financial Services
4005,OnsiteGo,4,131,Private,"Mumbai,Maharashtra + 8 more",12 years old,501-1k Employees (India),Internet
4006,Saregama India,3.5,131,Public,"Kolkata,West Bengal + 26 more",121 years old,201-500 Employees (India),Film / Music / Entertainment
4007,Xplore-Tech Serv...,3,131,Private,Kolkata + 2 more,18 years old,51-200 Employees (India),Advertising / PR / Events
4008,IL&FS Technologi...,3.8,131,Public,Gurgaon + 33 more,89 years old,201-500 Employees (India),Engineering & Construction
4009,ING Vysya Bank,4.6,131,Public,"Mumbai,Maharashtra + 41 more",20 years old,5k-10k Employees (India),Financial Services
4010,Synthite Industr...,4.3,131,Private,"Ernakulam,Kerala + 13 more",50 years old,1k-5k Employees (India),Food Processing
4011,Perficient,4.2,131,Private,"St Louis,Missouri + 3 more",25 years old,501-1k Employees (India),IT Services & Consulting
4012,Unique Engineers,3.4,131,Private,Gurgaon + 24 more,32 years old,201-500 Employees (India),Industrial Equipment / Machinery
4013,Fedders Lloyd,3.9,131,Public,"Delhi/NCR,New Delhi + 25 more",65 years old,201-500 Employees (India),Engineering & Construction
4014,Synergies Castin...,3.5,131,Public,"Visakhapatnam/Vizag,Andhra Pradesh + 2 more",23 years old,51-200 Employees (India),Automobile
4015,Aagna Global Sol...,3.4,131,Private,"Chennai,Tamil Nadu + 2 more",8 years old,201-500 Employees (Global),BPO/KPO
4016,Qualitest,3.8,131,Private,"Bridgewater,New Jersey + 6 more",25 years old,1k-5k Employees (India),IT Services & Consulting
4017,I P Integrated S...,4.6,131,Private,Gurgram + 30 more,11 years old,51-200 Employees (India),Logistics / Shipping
4018,Dhampur Sugar Mi...,3.5,131,Public,"Delhi/NCR,New Delhi + 12 more",89 years old,1k-5k Employees (India),Agriculture / Forestry / Fishing
4019,Wellspring Healt...,3.3,131,Private,Mumbai + 15 more,12 years old,51-200 Employees (India),Medical Services / Hospital
4020,Snowman Logistic...,4.1,131,Public,"Bangalore/Bengaluru,Karnataka + 20 more",26 years old,201-500 Employees (India),Logistics / Shipping
4021,Louis Dreyfus Co...,4.2,131,Private,"Rotterdam,South Holland + 10 more",25 years old,501-1k Employees (India),Agriculture / Forestry / Fishing
4022,International Ce...,3.5,131,Private,"Mumbai,Maharashtra + 25 more",23 years old,201-500 Employees (India),Marine
4023,MINISO,3.7,131,Private,"Gurgaon/Gurugram,Haryana + 21 more",9 years old,1k-5k Employees (Global),Retail
4024,Gulf Spic Genera...,3.9,131,Private,"Fahaheel,Ahmadi + 6 more",25 years old,5k-10k Employees (Global),Oil / Gas / Petro Chemicals
4025,Exeltis,3.8,131,Private,Madrid + 25 more,19 years old,1k-5k Employees (India),Pharmaceutical & Life Sciences
4026,Royaloak Incorpo...,3,131,Private,"Bangalore/Bengaluru,Karnataka + 15 more",20 years old,501-1k Employees (India),Furniture & Furnishing
4027,AIG Hospital,4.3,131,,Hyderabad,36 years old,,Medical Services / Hospital
4028,Cloud4C,3.5,131,Private,Singapore + 2 more,8 years old,501-1k Employees (India),IT Services & Consulting
4029,L. V. Prasad Eye...,4.4,131,Private,"Hyderabad/Secunderabad,Telangana + 9 more",35 years old,501-1k Employees (India),Healthcare / Pharma
4030,DEC Infra,3.5,131,,Hyderabad + 9 more,54 years old,,Real Estate
4031,Lapiz Digital Se...,3.3,131,Private,"Chennai,Tamil Nadu + 2 more",23 years old,501-1k Employees (India),Consulting
4032,Sun Direct TV,4.3,130,Private,"Chennai,Tamil Nadu + 30 more",15 years old,1k-5k Employees (India),TV / Radio
4033,Norwegian Cruise...,4.6,130,,Miami + 9 more,56 years old,,Travel & Tourism / Hospitality
4034,TomTom,4.1,130,Public,"Amsterdam,North Holland",31 years old,501-1k Employees (India),Internet
4035,Softtek,4.1,130,Private,"Monterrey,Nuevo Leon + 5 more",40 years old,501-1k Employees (India),IT Services & Consulting
4036,HMT Machine Tool...,4.1,130,Private,"Bangalore/Bengaluru,Karnataka + 14 more",69 years old,51-200 Employees (India),Industrial Equipment / Machinery
4037,Indian Council o...,4.1,130,Private,New Delhi + 34 more,93 years old,501-1k Employees (India),Agriculture / Forestry / Fishing
4038,Kanwar Enterpris...,3.6,130,,Noida + 15 more,25 years old,,Financial Services
4039,Galax E Solution...,3.9,130,Private,"Somerset,New Jersey + 3 more",19 years old,501-1k Employees (India),Consulting
4040,Varmora Granito,4.3,130,Private,"Mumbai,Maharashtra + 38 more",29 years old,51-200 Employees (India),Building Material
4041,Acg Pam Pharma T...,4.1,130,Private,"Mumbai,Maharashtra + 6 more",58 years old,1k-5k Employees (India),Industrial Equipment / Machinery
4042,Ratna Sagar,3.6,130,Private,"Delhi/NCR,Delhi + 19 more",40 years old,501-1k Employees (India),Media & Entertainment / Publishing
4043,ValGenesis,2.9,130,Private,"South San Francisco,California + 3 more",17 years old,201-500 Employees (India),IT Services & Consulting
4044,Jaguar Land Rove...,3.9,130,Private,Coventry + 26 more,14 years old,1k-5k Employees (India),Automobile
4045,AgreeYa Solution...,3.6,130,Private,"Folsom,California + 7 more",23 years old,501-1k Employees (India),IT Services & Consulting
4046,Klaus IT Solutio...,3.7,130,Private,"Bangalore/Bengaluru,Karnataka + 5 more",11 years old,201-500 Employees (India),IT Services & Consulting
4047,Joannou & Parask...,4.3,130,Public,Guernsey + 11 more,61 years old,1-10 Employees (India),Power
4048,Hicare Services,3.7,130,Private,"Mumbai,Maharashtra + 22 more",19 years old,501-1k Employees (India),Chemicals / Agri Inputs
4049,Acg Pam Pharma T...,4.1,130,Private,"Mumbai,Maharashtra + 6 more",58 years old,1k-5k Employees (India),Industrial Equipment / Machinery
4050,Hicare Services,3.7,130,Private,"Mumbai,Maharashtra + 22 more",19 years old,501-1k Employees (India),Chemicals / Agri Inputs
4051,Galax E Solution...,3.9,130,Private,"Somerset,New Jersey + 3 more",19 years old,501-1k Employees (India),Consulting
4052,Clix Capital Ser...,4,130,Private,Gurgaon + 14 more,15 years old,201-500 Employees (India),Investment Banking / Venture Capital / Private Equity
4053,MAN Energy Solut...,3.9,130,,Augsburg + 6 more,12 years old,,Industrial Equipment / Machinery
4054,ShortHills Tech,4.7,130,Private,New Jersey + 1 more,4 years old,51-200 Employees (India),IT Services & Consulting
4055,GE Renewable Ene...,4.3,130,,Paris + 21 more,7 years old,,Power
4056,L&T Buildings & ...,4.6,130,,New Delhi + 16 more,,5k-10k Employees (India),Engineering & Construction
4057,Henkel,4.2,356,Private,"Mumbai,Maharashtra + 22 more",57 years old,501-1k Employees (India),Chemicals / Agri Inputs
4058,AIRBUS,3.8,141,Public,Leiden + 10 more,15 years old,1k-5k Employees (India),Airlines / Aviation / Aerospace
4059,Carnival Group,4.2,134,Private,Mumbai + 34 more,15 years old,51-200 Employees (India),Advertising / PR / Events
4060,DQ Entertainment,3.3,129,Public,"Hyderabad/Secunderabad,Telangana + 2 more",15 years old,51-200 Employees (India),Animation & VFX
4061,Regency Hospital,4.3,129,Private,"Kanpur,Uttar Pradesh + 5 more",27 years old,201-500 Employees (India),Medical Services / Hospital
4062,National Aerospa...,4.5,129,Private,"Bangalore/Bengaluru,Karnataka + 1 more",63 years old,1k-5k Employees (India),Airlines / Aviation / Aerospace
4063,Source One Manag...,3.9,129,Private,"Grove,Pennsylvania + 8 more",37 years old,51-200 Employees (India),Recruitment / Staffing
4064,Taj Gateway Hote...,4.5,129,,Mumbai + 23 more,119 years old,,Hotels & Restaurants
4065,Syscom Corporati...,3.9,129,Private,"Noida,Uttar Pradesh + 4 more",26 years old,1k-5k Employees (Global),Manufacturing
4066,Amrutanjan Healt...,3.9,129,Public,"Chennai,Tamil Nadu + 24 more",129 years old,1k-5k Employees (India),Medical Services / Hospital
4067,Sadara Chemical ...,4.6,129,JV,"Jubail,Eastern Province + 3 more",11 years old,201-500 Employees (India),Chemicals / Agri Inputs
4068,Nalco,4.4,129,Private,"Bhubaneswar,Odisha + 10 more",41 years old,501-1k Employees (India),Design
4069,Grassroots BPO,4.1,129,Private,"Bangalore/Bengaluru,Karnataka + 4 more",11 years old,501-1k Employees (India),Consulting
4070,Creative Synergi...,3,129,Private,Okemos (MI) + 1 more,11 years old,501-1k Employees (India),IT Services & Consulting
4071,Entab Infotech,2.9,129,Private,"Delhi/NCR,New Delhi + 8 more",21 years old,51-200 Employees (India),Education / Training
4072,Unilog Content S...,3.5,129,Private,"Wayne,Pennsylvania + 2 more",24 years old,201-500 Employees (India),Internet
4073,Parsons Internat...,4.3,129,Private,"Centreville,Virginia + 10 more",78 years old,1-10 Employees (India),Defence & Aerospace
4074,Cummins Generato...,4.3,129,Private,Ahmednagar + 15 more,31 years old,5k-10k Employees (India),Industrial Equipment / Machinery
4075,Vivimed Labs,4.1,129,Public,"Hyderabad/Secunderabad,Telangana + 9 more",31 years old,501-1k Employees (India),Analytics / KPO / Research
4076,Forbes Technosys,3.8,129,Private,"Thane,Maharashtra + 28 more",29 years old,201-500 Employees (India),IT Services & Consulting
4077,Dr Mohan's Diabe...,4.1,129,Proprietorship,"Chennai,Tamil Nadu + 23 more",31 years old,1k-5k Employees (India),Medical Services / Hospital
4078,Iconic,3.7,129,Private,Gurugram + 18 more,9 years old,201-500 Employees (India),Retail
4079,Hyderabad Metro ...,3.9,129,Private,Hyderabad + 3 more,12 years old,5k-10k Employees (India),Urban Transport
4080,Adani Capital,4.4,129,Private,Mumbai + 49 more,5 years old,201-500 Employees (India),NBFC
4081,75way Technologi...,4.9,129,Private,"Panchkula,Haryana + 1 more",7 years old,51-200 Employees (India),IT Services & Consulting
4082,Arun Excello,3.8,129,Private,"Chennai,Tamil Nadu + 7 more",35 years old,501-1k Employees (India),Real Estate
4083,Finolex Ind,4.2,129,,Pune + 26 more,,1k-5k Employees (India),Petrochemical / Plastics / Rubber
4084,Accurate Enginee...,3.2,129,,"Pune,Maharashtra + 14 more",59 years old,,Industrial Equipment / Machinery
4085,Bharat FIH,4,129,,Chennai + 7 more,,5k-10k Employees (India),
4086,PreludeSys,3.8,129,Private,"Irvine,California + 1 more",23 years old,501-1k Employees (India),BPO/KPO
4087,Cimpress,4.5,129,Private,"Dundalk,County Louth + 6 more",27 years old,1k-5k Employees (India),Miscellaneous
4088,ClearTax,3.5,1300,Private,"New York City,New York + 6 more",11 years old,501-1k Employees (India),Internet
4089,Aditya Birla Mon...,3.7,128,Public,Mumbai + 31 more,66 years old,201-500 Employees (India),Financial Services
4090,NBCC,4,128,Private,"Delhi/NCR,Delhi + 22 more",62 years old,1k-5k Employees (India),Real Estate
4091,MyMoneyMantra,3.5,128,Private,"Delhi,NCT + 9 more",33 years old,1k-5k Employees (India),Financial Services
4092,Tiger Analytics,3.9,128,Private,Santa Clara + 4 more,11 years old,1k-5k Employees (India),Consulting
4093,Thermax Babcock ...,4,128,Private,"Pune,Maharashtra + 8 more",12 years old,51-200 Employees (India),Power
4094,Sears IT & Manag...,3.9,128,Private,"Pune,Maharashtra + 1 more",13 years old,501-1k Employees (India),IT Services & Consulting
4095,INOX Air Product...,4.4,128,Private,Mumbai + 32 more,59 years old,1k-5k Employees (India),Chemicals / Agri Inputs
4096,Singareni Collie...,4.3,128,Private,Hyderabad + 13 more,102 years old,10k-50k Employees (India),Import & Export
4097,JK Agri Genetics,4.1,128,Public,Hyderabad + 36 more,33 years old,201-500 Employees (India),Agriculture / Forestry / Fishing
4098,Star Wire India,3.9,128,Private,"Faridabad,Haryana + 2 more",41 years old,501-1k Employees (India),Iron & Steel
4099,Kovai Medical Ce...,4.4,128,Public,"Coimbatore,Tamil Nadu + 6 more",37 years old,201-500 Employees (India),Medical Services / Hospital
4100,Vipul MedCorp TP...,3.9,128,Private,"Gurgaon/Gurugram,Haryana + 16 more",7 years old,501-1k Employees (Global),Insurance
4101,Aarti Steels,4,128,Public,"Ludhiana,Punjab + 5 more",43 years old,1k-5k Employees (India),Iron & Steel
4102,Eastman Auto & P...,3.9,128,Public,"Gurgaon/Gurugram,Haryana + 18 more",20 years old,501-1k Employees (India),Industrial Equipment / Machinery
4103,Toyota Material ...,3.9,128,Private,"Gurgaon/Gurugram,Haryana + 18 more",66 years old,201-500 Employees (India),Import & Export
4104,Swastika Investm...,3.6,128,Public,Indore + 39 more,30 years old,501-1k Employees (India),Financial Services
4105,RM Education Sol...,4,128,Private,Thiruvananthapuram + 9 more,19 years old,1k-5k Employees (India),Internet
4106,Indian Railway C...,3.9,128,Public,"Delhi/NCR,Delhi + 27 more",23 years old,1k-5k Employees (India),Financial Services
4107,TIL,3.7,128,Public,Kolkata + 13 more,78 years old,501-1k Employees (India),Industrial Equipment / Machinery
4108,Sagar Cements,4.3,128,Public,"Hyderabad/Secunderabad,Telangana + 13 more",37 years old,1k-5k Employees (India),Building Material
4109,Star Wire India,3.9,128,Private,"Faridabad,Haryana + 2 more",41 years old,501-1k Employees (India),Iron & Steel
4110,Kovai Medical Ce...,4.4,128,Public,"Coimbatore,Tamil Nadu + 6 more",37 years old,201-500 Employees (India),Medical Services / Hospital
4111,Thermax Babcock ...,4,128,Private,"Pune,Maharashtra + 8 more",12 years old,51-200 Employees (India),Power
4112,SPIE Oil & Gas S...,4.4,128,Private,"Cergy,Val Doise + 11 more",18 years old,51-200 Employees (India),Internet
4113,Eastman Auto & P...,3.9,128,Public,"Gurgaon/Gurugram,Haryana + 18 more",20 years old,501-1k Employees (India),Industrial Equipment / Machinery
4114,Kyndal India,3.9,128,Private,Gurgaon + 10 more,20 years old,51-200 Employees (India),Gurgaon
4115,JCT,3.9,128,Public,"Hoshiarpur,Punjab + 9 more",76 years old,1k-5k Employees (India),Manufacturing
4116,Hinduja Finance,4.1,128,Private,"Mumbai,Maharashtra + 71 more",14 years old,201-500 Employees (India),Financial Services
4117,Minda Kosei Alum...,4.3,128,Private,Bawal + 8 more,7 years old,501-1k Employees (India),Auto Components
4118,First Abu Dhabi ...,2.9,128,Public,"Abu Dhabi,Abu Dhabi + 5 more",5 years old,201-500 Employees (India),Financial Services
4119,Kia,4,128,,Seoul + 21 more,,1k-5k Employees (India),Automobile
4120,Stelis Biopharma,3.6,128,Private,"Bangalore,Karnataka",9 years old,51-200 Employees (India),Biotech & Life sciences
4121,Trivitron Health...,3.8,128,Private,Chennai + 16 more,25 years old,501-1k Employees (India),Biotechnology
4122,TransUnion,4.3,128,Private,"Chicago,Illinois + 3 more",54 years old,1k-5k Employees (India),Financial Services
4123,Mitsubishi Heavy...,4.2,204,Private,Tokyo + 20 more,138 years old,51-200 Employees (India),Industrial Equipment / Machinery
4124,Balaji Enterpris...,3.8,127,Private,"Mumbai,Maharashtra + 40 more",31 years old,11-50 Employees (India),Architecture / Interior Design
4125,Hyva,3.4,127,,Mumbai + 10 more,43 years old,,Logistics / Shipping
4126,Glocal Healthcar...,3.5,127,JV,"Kolkata,West Bengal + 13 more",12 years old,51-200 Employees (India),Medical Services / Hospital
4127,LEAP India,3.7,127,Private,"Coimbatore,Tamil Nadu + 15 more",9 years old,51-200 Employees (India),Financial Services
4128,NOVO Mediscience...,3,127,,Mumbai + 16 more,76 years old,,Pharmaceutical & Life Sciences
4129,Ayoki Fabricon,3.9,127,Private,"Pune,Maharashtra + 6 more",38 years old,5k-10k Employees (India),Engineering & Construction
4130,Galpha Laborator...,3.8,127,,Mumbai + 17 more,36 years old,,Analytics / KPO / Research
4131,Abellon Clean En...,3.5,127,Public,"Ahmedabad,Gujrat + 12 more",14 years old,501-1k Employees (India),Power
4132,Xrbia Developers,3.1,127,Private,"Pune,Maharashtra + 6 more",10 years old,201-500 Employees (India),Real Estate
4133,Swiss Re,4,127,Public,Zurich + 1 more,159 years old,1k-5k Employees (India),Financial Services
4134,Om Innovation Ca...,3.3,127,Private,"Delhi/NCR,Delhi + 6 more",17 years old,51-200 Employees (India),BPO/KPO
4135,Virbac Animal He...,4.3,127,Private,Fort Worth + 37 more,54 years old,501-1k Employees (India),Biotech & Life sciences
4136,Career Point,4,127,Public,"Kota,Rajasthan + 29 more",29 years old,501-1k Employees (India),Education / Training
4137,Ninestars Inform...,3.6,127,Private,"Bangalore,Karnataka + 6 more",23 years old,501-1k Employees (India),Internet
4138,Diksha Technolog...,3.8,127,Private,"Bangalore/Bengaluru,Karnataka + 2 more",22 years old,51-200 Employees (India),Telecom / ISP
4139,Vectone Mobile,3.7,127,Private,London + 1 more,25 years old,51-200 Employees (India),Telecom / ISP
4140,Praxis Services,3.5,127,Private,Gurugram + 3 more,11 years old,201-500 Employees (Global),Travel & Tourism / Hospitality
4141,United Bank of I...,4,127,Public,"Kolkata,West Bengal + 27 more",72 years old,501-1k Employees (India),Financial Services
4142,GlobalStep,3.2,127,Private,"Dallas,Texas + 2 more",15 years old,51-200 Employees (India),IT Services & Consulting
4143,Coastal Projects,4.1,127,Public,"Hyderabad/Secunderabad,Telangana + 16 more",27 years old,5k-10k Employees (Global),Engineering & Construction
4144,TALENTEDGE,3.2,127,Private,"Mumbai,Maharashtra + 8 more",10 years old,201-500 Employees (India),Internet
4145,Uttam Value Stee...,3.9,127,Public,Mumbai + 5 more,48 years old,1k-5k Employees (India),Iron & Steel
4146,Teleone,3.6,127,Private,"Delhi/NCR,Delhi + 15 more",24 years old,51-200 Employees (India),Financial Services
4147,HEG,4,127,Public,"Noida,Uttar Pradesh + 4 more",50 years old,501-1k Employees (India),Import & Export
4148,Sunshine Hospita...,4.2,127,Private,"Secunderabad,Andhra Pradesh + 8 more",13 years old,201-500 Employees (India),Medical Services / Hospital
4149,Education Cultur...,4.8,127,Private,"Ludhiana,Punjab + 5 more",7 years old,51-200 Employees (India),Education / Training
4150,Koye Pharmaceuti...,3.5,127,Private,"Mumbai,Maharashtra + 22 more",9 years old,1k-5k Employees (India),Pharmaceutical & Life Sciences
4151,Indo Nissin Food...,4.5,127,Private,"Bangalore/Bengaluru,Karnataka + 24 more",64 years old,201-500 Employees (India),Food Processing
4152,Aditya Birla Mem...,4,127,Private,Pune + 3 more,19 years old,1k-5k Employees (Global),Medical Services / Hospital
4153,Livguard Energy ...,4.2,127,Private,"Gurgaon/Gurugram,Haryana + 32 more",8 years old,501-1k Employees (India),Power
4154,Reecomps Teleser...,3.5,127,Private,Allahabad + 24 more,24 years old,1k-5k Employees (Global),BPO/KPO
4155,PSA AVTEC Powert...,3.7,127,,Hosur + 3 more,5 years old,,Auto Components
4156,SAP-Concur,4.3,127,Private,"Bellevue,Washington State + 1 more",29 years old,10k-50k Employees (India),Hardware & Networking
4157,AQM Technologies,3.3,127,Private,"Mumbai,Maharashtra + 6 more",22 years old,1k-5k Employees (India),IT Services & Consulting
4158,KNR Construction...,4.1,127,Public,"Hyderabad/Secunderabad,Telangana + 23 more",27 years old,501-1k Employees (India),Engineering & Construction
4159,Mkc Infrastructu...,3.4,127,Public,Anjar + 15 more,59 years old,201-500 Employees (India),Engineering & Construction
4160,Kolkata Bazaar,4.1,127,Private,"Kolkata,West Bengal + 24 more",20 years old,1k-5k Employees (India),Retail
4161,Scaler Academy,4.5,127,Private,"Bangalore,Karnataka",3 years old,1k-5k Employees (India),Education / Training
4162,NextGen Healthca...,4,127,Private,"Atlanta,Georgia + 6 more",48 years old,501-1k Employees (India),Internet
4163,WAKEFIT INNOVATI...,3.7,127,Private,"Bangalore,Karnataka + 21 more",8 years old,1k-5k Employees (India),Furniture & Furnishing
4164,Jodas Expoim,3.7,127,Private,"Hyderabad/Secunderabad,Telangana + 3 more",16 years old,201-500 Employees (India),Pharmaceutical & Life Sciences
4165,Robosoft Technol...,3.9,131,Private,"New Udupi,Karnataka + 4 more",26 years old,1k-5k Employees (India),Internet
4166,Alchemist Hospit...,4.5,126,Private,"Panchkula,Haryana + 12 more",28 years old,51-200 Employees (India),Medical Services / Hospital
4167,Manika Moulds,4.1,126,Private,"Mumbai,Maharashtra + 10 more",26 years old,51-200 Employees (India),Manufacturing
4168,Super Auto India,3.3,126,Private,"Faridabad,Haryana + 3 more",54 years old,11-50 Employees (India),Automobile
4169,DelEx Cargo,4.3,126,Private,"Mumbai,Maharashtra + 29 more",13 years old,51-200 Employees (India),Logistics / Shipping
4170,Nova IVI Fertili...,3.9,126,Private,"Bangalore,Karnataka + 20 more",11 years old,501-1k Employees (India),Medical Services / Hospital
4171,Maahi Milk Produ...,4.2,126,Private,"Rajkot,Gujarat + 19 more",10 years old,501-1k Employees (India),Agriculture / Forestry / Fishing
4172,Som Autotech,3.4,126,Private,Aurangabad + 4 more,11 years old,201-500 Employees (India),Industrial Equipment / Machinery
4173,NXP Semiconducto...,4,126,Public,Eindhoven + 5 more,53 years old,1k-5k Employees (India),Manufacturing
